"Urban_Area","Pop_Group","Yr","Population","Pop_Rank","Commuters","Freeway_Daily_Miles","Street_Daily_Miles","Value_of_Time","Comm_Value_of_Time","Gas_Cost","Diesel_Cost","Excess_Fuel_Gal","Excess_Fuel_Per_Com","Annual_Delay_Hours","Delay_Per_Commuter","Com_Stress_Ind","Congestion_Cost","Congest_Cost_Per_Com"
"Salt Lake City-West Valley City UT 2011","Lrg","2011","1025","43","503","8444","8403","16.79","86.81","3.33","3.69","14540","20","24012","35","1.22","731","994"
"Salt Lake City-West Valley City UT 2010","Lrg","2010","1010","44","496","8312","8272","16.3","88.12","2.8","3.07","14033","19","23174","34","1.21","728","989"
"Salt Lake City-West Valley City UT 2012","Lrg","2012","1050","43","496","8290","8310","17.14","89.56","3.24","3.91","15333","21","25322","37","1.23","755","1027"
"Salt Lake City-West Valley City UT 2013","Lrg","2013","1075","42","518","8527","8258","17.39","89.6","3.61","3.89","15702","21","25931","36","1.22","762","1036"
"Salt Lake City-West Valley City UT 2014","Lrg","2014","1100","42","530","8757","8341","17.67","94.04","3.51","3.73","16304","22","26925","37","1.23","779","1059"
"San Antonio TX 2011","Lrg","2011","1840","24","958","19114","13345","16.79","86.81","3.29","3.56","26063","18","58197","41","1.32","1392","954"
"San Antonio TX 2010","Lrg","2010","1800","25","933","18758","13097","16.3","88.12","2.56","2.83","25136","17","56127","41","1.31","1385","949"
"San Antonio TX 2012","Lrg","2012","1870","25","975","20645","13210","17.14","89.56","3.33","3.75","27138","19","60597","42","1.32","1420","973"
"San Antonio TX 2013","Lrg","2013","1905","26","993","21185","12866","17.39","89.6","3.37","3.76","27989","19","62497","43","1.33","1443","989"
"San Antonio TX 2014","Lrg","2014","1935","26","989","21270","12956","17.67","94.04","3.12","3.47","28809","20","64328","44","1.33","1462","1002"
"San Diego CA 2011","Vlg","2011","3010","15","1425","37243","22240","16.79","86.81","3.51","4.02","19976","11","76479","41","1.31","1680","899"
"San Diego CA 2010","Vlg","2010","2985","15","1408","36837","21998","16.3","88.12","3.05","3.2","19398","10","74266","40","1.31","1683","901"
"San Diego CA 2012","Vlg","2012","3035","15","1439","36485","21860","17.14","89.56","3.89","4.2","20410","11","78141","41","1.31","1682","900"
"San Diego CA 2013","Vlg","2013","3060","15","1451","39540","21718","17.39","89.6","3.89","4.12","20687","11","79202","41","1.32","1680","899"
"San Diego CA 2014","Vlg","2014","3090","15","1398","39817","22543","17.67","94.04","3.63","3.85","20742","11","79412","42","1.32","1658","887"
"San Francisco-Oakland CA 2011","Vlg","2011","3410","13","1253","51843","30467","16.79","86.81","3.51","4.02","57841","31","135520","73","1.54","3070","1636"
"San Francisco-Oakland CA 2010","Vlg","2010","3400","13","1245","51299","30148","16.3","88.12","3.05","3.2","57298","31","134248","73","1.54","3137","1671"
"San Francisco-Oakland CA 2012","Vlg","2012","3440","13","1267","52510","30860","17.14","89.56","3.89","4.2","60861","32","142596","76","1.56","3165","1686"
"San Francisco-Oakland CA 2013","Vlg","2013","3470","13","1278","27612","23637","17.39","89.6","3.89","4.12","61918","33","145072","77","1.56","3174","1691"
"San Francisco-Oakland CA 2014","Vlg","2014","3480","13","1264","28137","24086","17.67","94.04","3.63","3.85","62320","33","146013","78","1.57","3143","1675"
"San Jose CA 2011","Lrg","2011","1820","26","930","17146","16563","16.79","86.81","3.51","4.02","39125","25","93035","64","1.48","2088","1332"
"San Jose CA 2010","Lrg","2010","1815","24","924","16922","16347","16.3","88.12","3.05","3.2","35692","23","84870","59","1.45","1965","1253"
"San Jose CA 2012","Lrg","2012","1865","26","954","17070","15720","17.14","89.56","3.89","4.2","40396","26","96056","65","1.49","2113","1347"
"San Jose CA 2013","Lrg","2013","1920","25","989","27039","17462","17.39","89.6","3.89","4.12","41981","27","99825","65","1.49","2164","1380"
